;teamId;spell1Id;spell2Id;championId;profileIconId;summonerName;bot;summonerId;gameCustomizationObjects;perks.perkIds;perks.perkStyle;perks.perkSubStyle
0;100;11;4;78;1232;Klenra 742;False;8Ad_jK7v9dpCsIO1ncpqsJ0FLxphZY1AH96Eb9GWSOztzQ;[];[8128, 8126, 8138, 8105, 8234, 8232, 5008, 5008, 5002];8100;8200
0;100;3;4;201;5426;Gabox 360;False;RMzx7O0j8mAwb-7OeOXIuJ4-hDpWYPFFw6e9ZMpI2k7RsQ;[];[8351, 8304, 8321, 8410, 8429, 8463, 5007, 5002, 5003];8300;8400
0;100;4;7;22;4555;dangerfury;False;o2vdNUl2W-r_ZAN7hYqizaXLxlZYN-wt3snXar5VHCJkAw;[];[8008, 9111, 9103, 8014, 8126, 8106, 5005, 5003, 5002];8000;8100
0;100;4;12;54;5814;Pocoio;False;6vlwofsXzClFou-OqE6VNTSDvCjFd3lrMgi7fEs_QfYOJQ;[];[8437, 8401, 8429, 8451, 8236, 8226, 5005, 5002, 5001];8400;8200
0;100;14;4;1;654;LaosHi;False;5gsGGDJvCWBff1MWP_EUyHeTU1x88pDPEdZ85Senp0fG;[];[8112, 8126, 8138, 8106, 8233, 8226, 5008, 5003, 5003];8100;8200
0;200;4;11;79;3791;Yoel Tulas ;False;ZNTTe7uyIfPXzCDrU5jIq2RUjqHHdGIrnWxyr9MueHy_lw;[];[8128, 8143, 8138, 8135, 8210, 8232, 5008, 5008, 5002];8100;8200
0;200;4;12;5;3013;Yoel Rabos;False;k3S7bqSiDIDrWQqc3z5pezewyJ4zd72yYGrNLcMRqlbEeA;[];[8008, 9111, 9105, 8299, 8242, 8444, 5005, 5008, 5003];8000;8400
0;200;4;3;99;1666;Yoel Biza;False;m0v0tgtQQ8mQ2xC9CcO12lndKeHuiCEav3vIrshvODiZXw;[];[8128, 8126, 8138, 8106, 8226, 8210, 5008, 5008, 5002];8100;8200
0;200;4;3;103;3789;Yoel Gucci;False;1GyuujaGEQDLjvOc7E5GzrGlAvdEW5dQJEZd8e-PEbIZuA;[];[8214, 8226, 8210, 8237, 8345, 8347, 5005, 5008, 5003];8200;8300
0;200;6;4;51;4550;ł C A R D E ł;False;rIk05pc3j3RCH0Sxta-RkHsDNf5jxJmWX3By01LPtlTx;[];[8008, 8009, 9104, 8014, 8139, 8105, 5005, 5008, 5002];8000;8100
