index,teamId,summonerId,championId,win,perks_defense,perks_flex,perks_offense,subStyle,primaryStyle,primary1perk,primary2perk,sub1perk,sub2perk,enemy_champ_team,championLevel,championPoints,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,attack,defense,magic,difficulty
0,100,ejWrrVCJDbLS5ep3zY2EhXyPICDtz4A9TfF9CTIT-yNREw,516,True,5002,5002,5007,8300,8400,8437,8446,8345,8347,"[157, 234, 36, 498, 111]",5,38202,"['Tank', 'Fighter']",Mana,660,109,341,65.0,335,33,5.2,32,2.05,175,9.0,0.9,8.0,0.6,0,0,69,3.5,2.0,0.625,5,9,3,5
1,100,QcJ5KT5_s0LGouiUTP5b_ZbY33x_luLavivCVBk985HkPw,11,True,5002,5008,5005,8000,8100,9923,8143,9104,9111,"[157, 234, 36, 498, 111]",7,54420,"['Assassin', 'Fighter']",Mana,669,100,251,42.0,355,33,4.2,32,2.05,175,7.5,0.65,7.25,0.45,0,0,65,2.2,2.0,0.679,10,4,2,4
2,100,cJFHkJ3nkjOG7wX4ruezmAJ85hlnBb1lf6_OHyuiE58ZCA,201,True,5001,5002,5007,8300,8400,8439,8463,8345,8347,"[157, 234, 36, 498, 111]",7,107986,"['Support', 'Tank']",Mana,610,112,311,45.0,335,47,5.2,32,2.05,125,8.5,1.0,6.0,0.8,0,0,55,3.2,3.5,0.644,3,9,4,3
3,100,hWlLJENwKmTz_WLe-Z4qPKTHjW-UJvGYWnEGY9EwWgGC4A,45,True,5003,5008,5008,8200,8100,8112,8139,8226,8210,"[157, 234, 36, 498, 111]",4,21547,['Mage'],Mana,550,108,490,26.0,340,18,5.2,32,1.3,550,6.5,0.6,8.0,0.8,0,0,52,2.7,2.24,0.625,2,2,10,7
4,100,06KsmUwEY4JTmVtyYmbbekeFIVdKp6TrmMZlPlBMWwriSw,51,True,5002,5008,5005,8300,8000,8008,8009,8345,8347,"[157, 234, 36, 498, 111]",5,39820,['Marksman'],Mana,580,107,315,40.0,325,27,4.7,30,1.3,650,3.5,0.55,7.4,0.7,0,0,60,3.8,4.0,0.681,8,2,2,6
5,200,y3gAnTO-EtujHRBDa8IOytuTLb1b_mq7f-MIqIarQEoBvQ,157,False,5003,5008,5005,8100,8000,8010,9111,8135,8139,"[516, 11, 201, 45, 51]",6,57086,"['Fighter', 'Assassin']",Flow,590,110,100,0.0,345,30,4.6,32,2.05,175,6.5,0.9,0.0,0.0,0,0,60,3.0,3.5,0.697,8,4,4,10
6,200,G7nbn7m4fH4N22YfGGZrqkbVFPAUiYx8lJU5UO2Olidt5g,234,False,5002,5008,5005,8100,8000,8010,9111,8139,8135,"[516, 11, 201, 45, 51]",1,1413,"['Assassin', 'Fighter']",None,630,109,10000,0.0,345,34,5.2,32,2.05,200,7.0,0.7,0.0,0.0,0,0,57,3.5,2.5,0.658,6,4,2,5
7,200,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,36,False,5002,5002,5008,8300,8400,8437,8446,8304,8410,"[516, 11, 201, 45, 51]",4,17262,"['Fighter', 'Tank']",None,613,103,0,0.0,345,32,3.7,29,2.3,125,7.0,0.5,0.0,0.0,0,0,61,2.5,3.3,0.67,5,7,6,5
8,200,v3iQbkdRFjpGizr6Uk_WBd2lDMhvTCCRznWCEHaqTgvOgx4,498,False,5002,5008,5005,8100,8000,8008,8009,8138,8135,"[516, 11, 201, 45, 51]",7,826651,['Marksman'],Mana,660,102,340,40.0,330,25,4.2,30,1.3,525,3.25,0.75,8.25,0.8,0,0,60,3.5,3.9,0.658,10,6,1,5
9,200,zM2znmEq0aAGqx3XJQ0akfyujZ1s9wQaaW_xTmrUeJOFFw,111,False,5001,5002,5005,8300,8400,8465,8446,8352,8304,"[516, 11, 201, 45, 51]",3,6516,"['Tank', 'Support']",Mana,646,100,400,47.0,325,39,4.95,32,2.05,175,8.5,0.55,8.65,0.5,0,0,61,3.3,1.0,0.706,4,6,6,6
